"filename", "language", "JSON", "Vue", "TypeScript", "Markdown", "comment", "blank", "total"
"d:\Project\EventReg\Frontend\docs\export_api.md", "Markdown", 0, 0, 0, 172, 0, 42, 214
"d:\Project\EventReg\Frontend\docs\export_examples.md", "Markdown", 0, 0, 0, 412, 0, 66, 478
"d:\Project\EventReg\Frontend\docs\file_upload_api.md", "Markdown", 0, 0, 0, 183, 0, 49, 232
"d:\Project\EventReg\Frontend\docs\form_api.md", "Markdown", 0, 0, 0, 430, 0, 93, 523
"d:\Project\EventReg\Frontend\src\components\admin\ExportDialog.vue", "Vue", 0, 249, 0, 0, 31, 40, 320
"d:\Project\EventReg\Frontend\src\router\index.ts", "TypeScript", 0, 0, 10, 0, 1, 1, 12
"d:\Project\EventReg\Frontend\src\views\Home.vue", "Vue", 0, -47, 0, 0, -1, -1, -49
"d:\Project\EventReg\Frontend\src\views\NotFound.vue", "Vue", 0, 56, 0, 0, 5, 7, 68
"d:\Project\EventReg\Frontend\src\views\admin\CompetitionList.vue", "Vue", 0, 26, 0, 0, 3, 4, 33
"d:\Project\EventReg\Frontend\src\views\admin\CompetitionManagement.vue", "Vue", 0, 26, 0, 0, 3, 5, 34
"d:\Project\EventReg\Frontend\src\views\competition\CompetitionDetail.vue", "Vue", 0, 39, 0, 0, 7, 9, 55
"d:\Project\EventReg\Frontend\src\views\competition\RegistrationForm.vue", "Vue", 0, 1331, 0, 0, 235, 239, 1805
"d:\Project\EventReg\Frontend\tsconfig.app.json", "JSON", 2, 0, 0, 0, 0, 0, 2
"Total", "-", 2, 1680, 10, 1197, 284, 554, 3727
